"Type","Num_Rooms","Location","_2013","_2014","_2015","_2016","_2017"
"Apartment","Three bed","Monaghan",0.00,0.00,0.00,0.00,0.00
"Apartment","Three bed","Offaly",511.59,530.45,533.27,566.90,644.75
"Apartment","Three bed","Roscommon",479.22,0.00,0.00,538.92,0.00
"Apartment","Three bed","Sligo",604.96,604.27,602.37,639.27,724.19
"Apartment","Three bed","Tipperary",519.03,524.96,535.76,579.33,600.85
"Apartment","Three bed","Waterford",459.86,451.98,473.73,516.50,616.06
"Apartment","Three bed","Westmeath",565.35,579.10,611.57,701.00,785.40
"Apartment","Three bed","Wexford",546.60,543.99,566.01,592.56,648.42
"Apartment","Three bed","Wicklow",922.50,991.20,1090.45,1182.30,1233.77
"Apartment","1 to 2 bed","Carlow",522.06,539.24,558.61,571.95,610.62
"Apartment","1 to 2 bed","Cavan",387.21,394.09,411.71,449.47,481.20
"Apartment","1 to 2 bed","Clare",446.82,453.74,469.93,495.35,538.10
"Apartment","1 to 2 bed","Cork",691.91,715.46,761.05,824.94,887.67
"Apartment","1 to 2 bed","Donegal",408.41,400.18,415.75,443.20,473.43
"Apartment","1 to 2 bed","Dublin",981.79,1056.70,1162.55,1247.52,1344.25
"Apartment","1 to 2 bed","Galway",696.62,717.43,763.43,816.58,854.75
"Apartment","1 to 2 bed","Kerry",498.56,508.81,526.02,560.49,604.29
"Apartment","1 to 2 bed","Kildare",686.43,729.48,802.39,874.20,939.77
"Apartment","1 to 2 bed","Kilkenny",553.05,575.34,615.10,663.24,710.97
"Apartment","1 to 2 bed","Laois",450.19,468.52,507.22,559.12,618.19
"Apartment","1 to 2 bed","Leitrim",352.33,359.99,372.07,402.05,428.93
"Apartment","1 to 2 bed","Limerick",552.40,547.97,563.76,616.94,689.17
"Apartment","1 to 2 bed","Longford",331.06,338.31,365.39,406.70,444.47
"Apartment","1 to 2 bed","Louth",549.98,574.16,628.55,692.57,772.61
"Apartment","1 to 2 bed","Mayo",471.84,476.55,487.65,506.02,533.21
"Apartment","1 to 2 bed","Meath",598.73,636.31,699.51,767.44,852.09
"Apartment","1 to 2 bed","Monaghan",465.44,467.09,485.26,505.58,524.87
"Apartment","1 to 2 bed","Offaly",470.47,474.92,490.93,511.73,536.03
"Apartment","1 to 2 bed","Roscommon",391.71,387.87,406.74,429.38,453.48
"Apartment","1 to 2 bed","Sligo",502.58,530.12,534.32,510.86,540.92
"Apartment","1 to 2 bed","Tipperary",441.77,444.97,460.20,481.21,504.75
"Apartment","1 to 2 bed","Waterford",479.45,476.02,493.85,540.93,591.21
"Apartment","1 to 2 bed","Westmeath",508.56,517.22,540.99,591.34,626.14
"Apartment","1 to 2 bed","Wexford",474.23,479.36,494.72,525.24,566.46
"Apartment","1 to 2 bed","Wicklow",781.19,826.09,894.53,964.65,1029.01
"Apartment","1 to 3 bed","Carlow",545.61,543.03,573.32,585.61,624.05
"Apartment","1 to 3 bed","Cavan",391.13,396.77,415.17,453.39,485.76
"Apartment","1 to 3 bed","Clare",456.26,467.64,484.93,505.03,548.80
"Apartment","1 to 3 bed","Cork",720.25,740.31,789.02,861.21,929.63
"Apartment","1 to 3 bed","Donegal",412.85,406.61,422.39,447.61,476.07
"Apartment","1 to 3 bed","Dublin",1009.65,1082.52,1193.11,1281.09,1375.49
"Apartment","1 to 3 bed","Galway",739.34,761.91,811.09,873.65,918.96
"Apartment","1 to 3 bed","Kerry",510.69,518.42,528.42,562.98,606.96
"Apartment","1 to 3 bed","Kildare",696.27,742.09,815.70,884.79,948.13
"Apartment","1 to 3 bed","Kilkenny",567.08,589.68,627.48,676.57,725.05
"Apartment","1 to 3 bed","Laois",450.75,469.44,508.27,560.02,620.09
"Apartment","1 to 3 bed","Leitrim",357.78,367.45,378.04,406.63,433.70
"Apartment","1 to 3 bed","Limerick",575.55,570.72,590.42,639.84,709.69
"Apartment","1 to 3 bed","Longford",336.28,341.04,367.87,410.26,449.66
"Apartment","1 to 3 bed","Louth",562.61,587.95,645.79,710.09,788.24
"Apartment","1 to 3 bed","Mayo",476.44,481.47,493.67,510.69,535.21
"Apartment","1 to 3 bed","Meath",612.25,652.34,718.48,789.39,868.46
"Apartment","1 to 3 bed","Monaghan",462.55,467.11,486.84,506.22,526.87
"Apartment","1 to 3 bed","Offaly",473.98,480.17,494.08,516.30,544.85
"Apartment","1 to 3 bed","Roscommon",401.02,397.06,415.90,438.51,459.17
"Apartment","1 to 3 bed","Sligo",545.32,562.46,563.83,566.42,615.82
"Apartment","1 to 3 bed","Tipperary",448.19,451.92,466.84,490.25,513.37
"Apartment","1 to 3 bed","Waterford",474.44,470.24,489.12,535.40,597.21
"Apartment","1 to 3 bed","Westmeath",515.68,524.71,549.47,605.36,644.29
"Apartment","1 to 3 bed","Wexford",479.37,483.93,500.13,529.98,572.15
"Apartment","1 to 3 bed","Wicklow",798.66,845.55,915.59,985.78,1047.37
"Apartment","Four plus bed","Carlow",820.97,747.66,761.71,799.35,830.54
"Apartment","Four plus bed","Cavan",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Clare",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Cork",960.18,1308.01,1347.69,1124.98,1308.85
"Apartment","Four plus bed","Donegal",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Dublin",1338.93,1363.29,1530.54,1591.16,1641.84
"Apartment","Four plus bed","Galway",1494.64,1282.84,1195.96,1501.29,1613.35
"Apartment","Four plus bed","Kerry",375.51,399.78,554.91,922.30,1017.66
"Apartment","Four plus bed","Kildare",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Kilkenny",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Laois",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Leitrim",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Limerick",566.96,527.63,544.19,683.20,782.04
"Apartment","Four plus bed","Longford",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Louth",0.00,0.00,451.10,484.81,510.80
"Apartment","Four plus bed","Mayo",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Meath",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Monaghan",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Offaly",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Roscommon",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Sligo",624.74,658.67,765.80,953.66,960.45
"Apartment","Four plus bed","Tipperary",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Waterford",578.97,567.47,574.61,617.77,697.98
"Apartment","Four plus bed","Westmeath",592.46,641.26,675.27,729.58,808.20
"Apartment","Four plus bed","Wexford",0.00,0.00,0.00,0.00,0.00
"Apartment","Four plus bed","Wicklow",0.00,0.00,0.00,0.00,0.00
"Apartment","All bedrooms","Carlow",569.92,556.64,586.73,600.88,634.94
"Apartment","All bedrooms","Cavan",391.15,396.37,414.94,454.26,486.40
"Apartment","All bedrooms","Clare",459.22,470.24,485.86,506.35,549.82
"Apartment","All bedrooms","Cork",730.54,764.41,816.10,872.82,941.40
"Apartment","All bedrooms","Donegal",411.60,405.94,421.70,446.42,474.67
"Apartment","All bedrooms","Dublin",1012.46,1084.80,1195.51,1283.48,1377.37
"Apartment","All bedrooms","Galway",781.32,791.96,833.34,908.13,950.47
"Apartment","All bedrooms","Kerry",492.32,497.70,532.45,592.29,634.31
"Apartment","All bedrooms","Kildare",697.62,743.72,816.95,885.77,948.66
"Apartment","All bedrooms","Kilkenny",568.86,591.04,628.21,677.92,725.35
"Apartment","All bedrooms","Laois",450.72,469.51,508.34,560.02,620.09
"Apartment","All bedrooms","Leitrim",358.42,368.00,378.04,406.63,433.70
"Apartment","All bedrooms","Limerick",574.82,565.84,585.39,644.97,717.02
"Apartment","All bedrooms","Longford",336.28,341.23,368.00,410.40,450.05
"Apartment","All bedrooms","Louth",568.01,585.71,639.05,701.30,778.44
"Apartment","All bedrooms","Mayo",475.89,481.00,493.45,510.46,535.04
"Apartment","All bedrooms","Meath",612.89,653.47,719.34,789.94,869.26
"Apartment","All bedrooms","Monaghan",463.11,466.84,486.40,505.52,526.09
"Apartment","All bedrooms","Offaly",475.22,481.57,494.70,516.70,545.00
"Apartment","All bedrooms","Roscommon",401.84,397.06,416.08,438.84,460.34
"Apartment","All bedrooms","Sligo",548.92,566.30,570.00,583.71,633.61
"Apartment","All bedrooms","Tipperary",448.52,452.17,467.67,490.67,513.82
"Apartment","All bedrooms","Waterford",476.02,471.53,490.44,536.82,599.02
"Apartment","All bedrooms","Westmeath",518.83,530.62,556.11,613.00,651.47
"Apartment","All bedrooms","Wexford",479.45,483.89,500.54,530.24,572.08
"Apartment","All bedrooms","Wicklow",800.05,847.09,917.74,988.13,1049.87
"Other flats","One bed","Carlow",396.11,398.24,399.51,421.72,447.15
"Other flats","One bed","Cavan",295.36,283.41,287.02,302.13,352.09
"Other flats","One bed","Clare",331.65,335.77,326.62,350.43,368.50
"Other flats","One bed","Cork",464.73,478.62,490.72,516.10,540.58
"Other flats","One bed","Donegal",294.45,299.80,309.80,336.89,366.09
"Other flats","One bed","Dublin",616.29,664.30,709.87,788.29,862.57
"Other flats","One bed","Galway",444.87,460.82,487.86,508.18,532.85
"Other flats","One bed","Kerry",346.07,345.40,356.50,378.98,394.81
"Other flats","One bed","Kildare",425.06,440.73,605.46,698.66,662.64
"Other flats","One bed","Kilkenny",390.66,385.68,414.13,473.20,484.72
"Other flats","One bed","Laois",331.54,332.90,331.22,384.07,407.97
"Other flats","One bed","Leitrim",0.00,0.00,0.00,0.00,0.00
"Other flats","One bed","Limerick",371.68,371.30,383.07,399.74,458.65
"Other flats","One bed","Longford",0.00,0.00,0.00,0.00,0.00
"Other flats","One bed","Louth",415.10,421.46,440.36,469.70,524.91
"Other flats","One bed","Mayo",366.77,371.47,373.00,378.83,384.36
"Other flats","One bed","Meath",396.97,412.35,435.52,459.36,509.62
"Other flats","One bed","Monaghan",318.45,334.61,370.43,369.67,358.87
"Other flats","One bed","Offaly",376.79,379.94,385.20,395.82,413.16
"Other flats","One bed","Roscommon",0.00,0.00,0.00,0.00,0.00
"Other flats","One bed","Sligo",372.66,0.00,0.00,0.00,0.00
"Other flats","One bed","Tipperary",360.84,355.16,363.77,370.97,386.92
"Other flats","One bed","Waterford",357.16,359.03,369.04,393.11,424.85
"Other flats","One bed","Westmeath",363.60,358.51,374.34,395.50,429.60
"Other flats","One bed","Wexford",369.02,376.18,383.88,399.92,424.51
"Other flats","One bed","Wicklow",512.31,540.04,573.57,608.41,636.60
"Other flats","Two bed","Carlow",0.00,0.00,0.00,0.00,0.00
"Other flats","Two bed","Cavan",0.00,0.00,0.00,0.00,0.00
"Other flats","Two bed","Clare",0.00,0.00,418.77,453.09,0.00
"Other flats","Two bed","Cork",539.17,584.43,631.97,634.86,655.06
"Other flats","Two bed","Donegal",336.86,331.54,342.47,388.13,423.25
"Other flats","Two bed","Dublin",882.62,970.12,1036.18,1068.80,1147.52
"Other flats","Two bed","Galway",541.79,574.66,608.07,619.30,631.78
"Other flats","Two bed","Kerry",413.60,413.69,425.00,442.81,476.53
"Other flats","Two bed","Kildare",571.15,600.74,639.57,764.46,817.18
"Other flats","Two bed","Kilkenny",0.00,0.00,0.00,0.00,0.00
"Other flats","Two bed","Laois",0.00,0.00,0.00,0.00,0.00
"Other flats","Two bed","Leitrim",0.00,0.00,0.00,0.00,0.00
"Other flats","Two bed","Limerick",471.47,453.31,496.58,545.92,613.16
"Other flats","Two bed","Longford",0.00,0.00,0.00,0.00,0.00
"Other flats","Two bed","Louth",0.00,0.00,495.83,547.69,565.37
"Other flats","Two bed","Mayo",399.45,395.17,409.87,412.77,0.00
"Other flats","Two bed","Meath",495.51,511.93,564.97,595.47,0.00
"Other flats","Two bed","Monaghan",0.00,0.00,0.00,436.39,0.00
"Other flats","Two bed","Offaly",0.00,0.00,0.00,0.00,0.00
"Other flats","Two bed","Roscommon",0.00,0.00,0.00,0.00,0.00
"Other flats","Two bed","Sligo",0.00,0.00,0.00,0.00,0.00
"Other flats","Two bed","Tipperary",432.66,434.83,437.06,438.05,455.18
"Other flats","Two bed","Waterford",416.05,431.86,431.54,459.31,498.45
"Other flats","Two bed","Westmeath",426.63,0.00,0.00,490.08,538.86
"Other flats","Two bed","Wexford",434.97,434.27,446.83,489.28,0.00
"Other flats","Two bed","Wicklow",694.01,754.69,837.08,876.77,899.68
"Other flats","Three bed","Carlow",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Cavan",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Clare",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Cork",0.00,695.41,768.53,796.49,0.00
"Other flats","Three bed","Donegal",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Dublin",1186.96,1199.36,1247.94,1394.66,1472.70
"Other flats","Three bed","Galway",862.81,1139.72,1129.74,1084.11,1109.39
"Other flats","Three bed","Kerry",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Kildare",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Kilkenny",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Laois",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Leitrim",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Limerick",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Longford",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Louth",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Mayo",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Meath",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Monaghan",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Offaly",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Roscommon",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Sligo",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Tipperary",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Waterford",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Westmeath",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Wexford",0.00,0.00,0.00,0.00,0.00
"Other flats","Three bed","Wicklow",0.00,0.00,0.00,0.00,0.00
"Other flats","1 to 2 bed","Carlow",410.57,414.30,422.48,446.06,470.35
"Other flats","1 to 2 bed","Cavan",317.80,317.40,334.29,350.92,385.31
"Other flats","1 to 2 bed","Clare",371.89,356.26,368.96,397.59,405.81
"Other flats","1 to 2 bed","Cork",482.86,505.13,527.54,546.48,569.30
"Other flats","1 to 2 bed","Donegal",314.57,314.18,324.30,359.88,392.18
"Other flats","1 to 2 bed","Dublin",681.58,736.67,791.24,863.34,940.17
"Other flats","1 to 2 bed","Galway",471.30,492.94,525.45,540.66,558.39
"Other flats","1 to 2 bed","Kerry",365.46,363.91,373.55,396.02,420.18
"Other flats","1 to 2 bed","Kildare",443.25,466.39,613.50,712.73,699.44
"Other flats","1 to 2 bed","Kilkenny",403.53,408.70,441.31,489.05,506.38
"Other flats","1 to 2 bed","Laois",352.97,352.12,353.35,404.46,448.88
"Other flats","1 to 2 bed","Leitrim",0.00,0.00,0.00,0.00,0.00
"Other flats","1 to 2 bed","Limerick",402.93,397.37,421.03,448.95,516.34
"Other flats","1 to 2 bed","Longford",0.00,0.00,0.00,0.00,0.00
"Other flats","1 to 2 bed","Louth",432.00,441.80,452.96,486.37,536.03
"Other flats","1 to 2 bed","Mayo",379.39,377.73,384.92,390.15,396.15
"Other flats","1 to 2 bed","Meath",422.90,440.69,475.17,505.18,543.97
"Other flats","1 to 2 bed","Monaghan",347.91,362.09,392.13,395.00,396.86
"Other flats","1 to 2 bed","Offaly",382.54,386.66,391.37,409.05,423.60
"Other flats","1 to 2 bed","Roscommon",331.36,314.39,341.70,354.43,343.57
"Other flats","1 to 2 bed","Sligo",432.68,387.53,380.30,395.74,428.26
"Other flats","1 to 2 bed","Tipperary",380.87,379.06,386.77,393.91,411.22
"Other flats","1 to 2 bed","Waterford",375.37,376.90,381.40,409.93,441.93
"Other flats","1 to 2 bed","Westmeath",379.36,371.29,390.50,422.16,458.57
"Other flats","1 to 2 bed","Wexford",389.03,395.80,404.87,431.46,447.20
"Other flats","1 to 2 bed","Wicklow",553.99,589.20,629.65,666.13,701.15
"Other flats","1 to 3 bed","Carlow",418.51,414.60,434.65,460.40,481.72
"Other flats","1 to 3 bed","Cavan",317.80,317.40,334.29,350.92,383.11
"Other flats","1 to 3 bed","Clare",383.87,367.48,374.36,398.32,412.35
"Other flats","1 to 3 bed","Cork",488.29,512.24,537.37,555.30,580.08
"Other flats","1 to 3 bed","Donegal",319.38,319.79,329.56,364.52,399.31
"Other flats","1 to 3 bed","Dublin",710.62,764.87,814.29,885.81,964.37
"Other flats","1 to 3 bed","Galway",516.30,613.91,645.41,745.64,783.86
"Other flats","1 to 3 bed","Kerry",376.92,371.63,377.14,400.44,424.29
"Other flats","1 to 3 bed","Kildare",449.79,482.23,621.49,712.32,700.72
"Other flats","1 to 3 bed","Kilkenny",406.47,422.09,456.31,490.22,521.67
"Other flats","1 to 3 bed","Laois",362.36,358.88,355.21,404.46,448.88
"Other flats","1 to 3 bed","Leitrim",0.00,0.00,0.00,0.00,0.00
"Other flats","1 to 3 bed","Limerick",433.31,425.07,440.58,470.66,548.61
"Other flats","1 to 3 bed","Longford",0.00,0.00,0.00,0.00,0.00
"Other flats","1 to 3 bed","Louth",443.10,455.73,461.67,499.63,545.63
"Other flats","1 to 3 bed","Mayo",380.79,378.20,385.51,392.61,395.60
"Other flats","1 to 3 bed","Meath",436.88,464.28,497.85,531.36,572.54
"Other flats","1 to 3 bed","Monaghan",348.69,362.09,392.76,395.48,396.86
"Other flats","1 to 3 bed","Offaly",384.49,387.30,390.36,411.02,428.18
"Other flats","1 to 3 bed","Roscommon",331.36,315.24,337.64,349.37,341.09
"Other flats","1 to 3 bed","Sligo",434.11,389.02,396.32,418.18,433.67
"Other flats","1 to 3 bed","Tipperary",383.46,383.89,390.23,399.39,418.12
"Other flats","1 to 3 bed","Waterford",375.14,376.19,381.38,411.89,447.31
"Other flats","1 to 3 bed","Westmeath",385.90,382.91,397.72,423.89,462.97
"Other flats","1 to 3 bed","Wexford",389.34,395.19,404.05,434.46,451.80
"Other flats","1 to 3 bed","Wicklow",562.40,597.97,635.17,673.85,707.45
"Other flats","Four plus bed","Carlow",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Cavan",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Clare",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Cork",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Donegal",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Dublin",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Galway",1478.31,1458.69,0.00,0.00,0.00
"Other flats","Four plus bed","Kerry",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Kildare",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Kilkenny",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Laois",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Leitrim",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Limerick",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Longford",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Louth",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Mayo",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Meath",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Monaghan",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Offaly",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Roscommon",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Sligo",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Tipperary",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Waterford",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Westmeath",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Wexford",0.00,0.00,0.00,0.00,0.00
"Other flats","Four plus bed","Wicklow",0.00,0.00,0.00,0.00,0.00
"Other flats","All bedrooms","Carlow",421.93,414.21,430.97,462.47,488.37
"Other flats","All bedrooms","Cavan",317.80,317.40,334.29,350.92,383.11
"Other flats","All bedrooms","Clare",383.87,367.48,374.36,398.32,412.35
"Other flats","All bedrooms","Cork",488.95,518.03,543.04,556.65,582.24
"Other flats","All bedrooms","Donegal",321.00,321.09,329.56,364.52,399.31
"Other flats","All bedrooms","Dublin",712.39,764.75,813.18,886.99,967.82
"Other flats","All bedrooms","Galway",692.45,683.50,664.27,753.99,792.95
"Other flats","All bedrooms","Kerry",376.92,371.63,377.14,400.44,424.29
"Other flats","All bedrooms","Kildare",454.60,486.73,621.49,712.32,700.72
"Other flats","All bedrooms","Kilkenny",406.47,422.09,456.31,490.41,525.54
"Other flats","All bedrooms","Laois",362.36,366.43,363.70,404.46,448.88
"Other flats","All bedrooms","Leitrim",0.00,0.00,0.00,0.00,0.00
"Other flats","All bedrooms","Limerick",436.89,427.06,445.10,473.38,549.60
"Other flats","All bedrooms","Longford",0.00,0.00,0.00,0.00,0.00
"Other flats","All bedrooms","Louth",443.10,455.73,463.38,500.91,545.63
"Other flats","All bedrooms","Mayo",380.79,380.65,387.73,393.63,396.78
"Other flats","All bedrooms","Meath",437.80,463.02,495.36,531.36,572.54
"Other flats","All bedrooms","Monaghan",348.69,363.49,393.38,395.48,396.86
"Other flats","All bedrooms","Offaly",383.06,390.24,393.19,411.02,428.18
"Other flats","All bedrooms","Roscommon",331.36,315.24,337.64,349.37,341.09
"Other flats","All bedrooms","Sligo",434.11,389.02,396.32,418.18,433.67
"Other flats","All bedrooms","Tipperary",383.87,383.95,389.31,397.43,416.67
"Other flats","All bedrooms","Waterford",375.14,376.54,381.35,411.89,447.23
"Other flats","All bedrooms","Westmeath",389.24,383.84,398.48,423.89,462.97
"Other flats","All bedrooms","Wexford",389.34,395.44,404.28,434.86,452.04
"Other flats","All bedrooms","Wicklow",562.40,598.44,635.55,673.76,707.24
"All property types","One bed","Carlow",434.51,432.93,452.92,485.87,503.64
"All property types","One bed","Cavan",332.35,337.70,344.59,373.06,410.68
"All property types","One bed","Clare",364.50,367.03,384.41,400.44,420.46
"All property types","One bed","Cork",547.42,567.35,600.45,644.96,695.76
"All property types","One bed","Donegal",328.83,331.69,344.44,369.37,389.82
"All property types","One bed","Dublin",783.49,844.72,929.61,1006.78,1102.19
"All property types","One bed","Galway",527.93,546.00,581.55,618.84,652.69
"All property types","One bed","Kerry",406.06,410.55,417.73,432.50,470.27
"All property types","One bed","Kildare",526.39,564.53,640.18,704.29,746.18
"All property types","One bed","Kilkenny",434.41,444.26,487.46,528.15,556.11
"All property types","One bed","Laois",371.43,389.42,410.40,443.80,479.70
"All property types","One bed","Leitrim",311.13,318.53,328.67,352.38,369.53
"All property types","One bed","Limerick",443.87,447.24,463.83,488.01,545.46
"All property types","One bed","Longford",308.87,314.56,323.73,352.17,390.58
"All property types","One bed","Louth",473.79,488.46,510.84,551.67,627.37
"All property types","One bed","Mayo",392.66,384.89,394.76,409.23,422.67
"All property types","One bed","Meath",482.34,511.44,564.17,613.61,673.07
"All property types","One bed","Monaghan",383.47,395.76,413.40,411.17,428.70
"All property types","One bed","Offaly",398.53,405.30,411.27,431.30,462.17
"All property types","One bed","Roscommon",347.06,347.51,360.68,389.30,404.95
"All property types","One bed","Sligo",464.52,458.62,470.14,504.29,507.28
"All property types","One bed","Tipperary",381.84,386.48,396.27,415.27,439.62
"All property types","One bed","Waterford",410.26,408.30,422.84,459.30,499.28
"All property types","One bed","Westmeath",418.21,418.24,441.02,472.38,499.09
"All property types","One bed","Wexford",403.61,407.53,422.26,446.63,477.11
"All property types","One bed","Wicklow",601.98,637.92,695.41,760.28,801.67
"All property types","Two bed","Carlow",536.23,548.55,565.37,585.79,628.97
"All property types","Two bed","Cavan",393.16,402.22,424.53,456.99,486.55
"All property types","Two bed","Clare",461.40,463.70,475.47,505.59,552.66
"All property types","Two bed","Cork",700.07,725.39,770.71,837.16,903.21
"All property types","Two bed","Donegal",406.80,398.82,412.28,440.10,472.16
"All property types","Two bed","Dublin",1015.82,1090.67,1193.73,1278.82,1370.53
"All property types","Two bed","Galway",698.87,716.99,762.95,820.82,864.99
"All property types","Two bed","Kerry",506.07,516.06,533.79,561.58,605.91
"All property types","Two bed","Kildare",717.67,761.20,833.13,909.13,979.33
"All property types","Two bed","Kilkenny",552.82,572.14,608.03,651.32,698.80
"All property types","Two bed","Laois",461.18,478.88,521.97,581.01,639.35
"All property types","Two bed","Leitrim",358.98,366.23,378.87,406.72,438.54
"All property types","Two bed","Limerick",562.03,554.08,570.59,626.48,696.78
"All property types","Two bed","Longford",345.99,355.63,381.67,419.14,456.92
"All property types","Two bed","Louth",564.72,585.74,637.38,709.53,789.57
"All property types","Two bed","Mayo",475.86,482.14,489.37,506.18,538.12
"All property types","Two bed","Meath",621.91,657.60,719.42,796.60,878.04
"All property types","Two bed","Monaghan",450.01,456.77,483.81,506.30,524.90
"All property types","Two bed","Offaly",487.23,490.47,505.70,530.85,569.65
"All property types","Two bed","Roscommon",399.20,395.79,408.94,427.22,456.50
"All property types","Two bed","Sligo",501.21,526.37,532.33,508.48,542.07
"All property types","Two bed","Tipperary",474.11,476.87,491.20,510.00,531.36
"All property types","Two bed","Waterford",490.84,487.82,503.53,548.41,600.60
"All property types","Two bed","Westmeath",516.10,524.23,548.42,598.94,633.96
"All property types","Two bed","Wexford",495.96,498.13,515.22,547.52,586.58
"All property types","Two bed","Wicklow",791.91,834.87,894.75,964.07,1031.46
"All property types","Three bed","Carlow",597.69,593.93,629.46,658.81,697.63
"All property types","Three bed","Cavan",435.88,437.29,462.18,500.25,541.33
"All property types","Three bed","Clare",519.29,524.46,541.98,577.59,614.93
"All property types","Three bed","Cork",741.87,758.41,806.55,879.02,942.96
"All property types","Three bed","Donegal",444.49,446.24,459.24,485.06,509.25
"All property types","Three bed","Dublin",1127.43,1180.41,1281.04,1378.81,1457.44
"All property types","Three bed","Galway",755.61,781.02,829.20,892.27,948.19
"All property types","Three bed","Kerry",548.86,554.89,569.38,597.00,629.32
"All property types","Three bed","Kildare",808.87,851.30,920.91,995.71,1058.21
"All property types","Three bed","Kilkenny",600.44,618.07,651.33,698.50,747.52
"All property types","Three bed","Laois",533.43,550.65,589.78,647.77,704.30
"All property types","Three bed","Leitrim",398.71,401.71,411.41,437.36,469.40
"All property types","Three bed","Limerick",633.09,635.39,662.44,707.63,762.18
"All property types","Three bed","Longford",407.80,416.08,436.91,474.55,521.70
"All property types","Three bed","Louth",634.94,652.20,698.63,771.98,862.03
"All property types","Three bed","Mayo",502.98,501.53,512.10,534.50,557.98
"All property types","Three bed","Meath",699.52,734.76,805.17,889.68,964.59
"All property types","Three bed","Monaghan",494.69,504.91,512.95,533.48,567.11
"All property types","Three bed","Offaly",543.38,553.50,575.70,607.75,646.74
"All property types","Three bed","Roscommon",451.92,456.02,469.49,488.70,517.14
"All property types","Three bed","Sligo",588.43,586.37,596.34,626.23,683.28
"All property types","Three bed","Tipperary",551.65,553.53,565.45,588.04,617.50
"All property types","Three bed","Waterford",565.34,564.98,583.12,616.82,674.08
"All property types","Three bed","Westmeath",537.26,546.06,573.86,627.88,674.13
